Year,Month,StarWar1,StarWar2,StarWar3,StarWar4,StarWar5,StarWar6
NULL,NULL,62,134,290,82,66,111
NULL,NULL,59,125,377,78,66,96
NULL,NULL,52,155,396,106,73,105
NULL,NULL,38,131,290,72,57,91
NULL,NULL,30,127,241,87,64,79
NULL,NULL,54,235,353,130,121,165
NULL,NULL,96,176,435,106,103,170
NULL,NULL,109,199,366,130,103,141
NULL,NULL,101,189,338,71,71,102
NULL,NULL,97,162,379,120,82,118
NULL,NULL,86,146,231,69,58,75
NULL,NULL,56,113,203,55,44,65
NULL,NULL,17,52,90,41,26,37
NULL,NULL,47,63,147,41,28,45
NULL,NULL,82,121,239,71,53,83
NULL,NULL,74,88,179,78,52,76
NULL,NULL,52,87,169,58,49,72
NULL,NULL,78,108,190,77,65,90
NULL,NULL,85,124,188,83,68,85
NULL,NULL,78,103,184,102,65,79
NULL,NULL,62,105,169,66,64,94
NULL,NULL,44,70,112,63,36,58
NULL,NULL,68,96,214,78,59,105
NULL,NULL,53,117,168,55,64,74
NULL,NULL,72,117,182,93,44,106
NULL,NULL,60,107,174,63,59,83
NULL,NULL,50,106,175,85,52,66
NULL,NULL,52,120,183,60,53,67
NULL,NULL,44,133,184,61,57,120
NULL,NULL,64,119,192,82,56,57
NULL,NULL,102,155,206,95,76,95
0,0,90,131,203,101,57,79
NULL,NULL,80,142,161,101,49,49
NULL,NULL,60,149,164,112,58,74
NULL,NULL,58,109,161,177,144,144
NULL,NULL,58,108,151,135,143,148
NULL,NULL,71,154,202,198,137,149
NULL,NULL,61,144,153,152,140,137
NULL,NULL,48,101,148,182,144,172
NULL,NULL,35,96,117,169,107,100
NULL,NULL,45,90,163,172,119,126
NULL,NULL,58,120,173,148,109,128
NULL,NULL,47,100,167,148,132,120
NULL,NULL,39,116,138,158,111,84
NULL,NULL,34,62,68,96,65,69
NULL,NULL,50,94,116,149,97,92
NULL,NULL,34,88,122,116,103,108
NULL,NULL,55,86,112,141,117,96
NULL,NULL,58,84,125,132,89,92
NULL,NULL,40,77,100,133,93,108
NULL,NULL,59,62,108,144,106,125
NULL,NULL,101,71,72,126,80,57
NULL,NULL,103,70,106,108,73,70
NULL,NULL,89,69,92,116,84,83
NULL,NULL,89,72,116,101,77,68
NULL,NULL,82,56,101,118,78,89
NULL,NULL,53,76,64,85,68,90
NULL,NULL,77,137,70,126,97,70
NULL,NULL,76,110,95,87,96,75
NULL,NULL,110,124,102,105,103,72
NULL,NULL,78,116,74,100,108,68
NULL,NULL,91,99,83,84,108,87
NULL,NULL,101,151,82,120,110,85
NULL,NULL,106,131,81,96,72,72
NULL,NULL,100,118,161,108,104,59
NULL,NULL,70,120,156,96,72,79
NULL,NULL,66,109,146,74,69,50
NULL,NULL,55,89,130,47,30,32
NULL,NULL,38,58,76,32,34,28
NULL,NULL,48,88,101,45,35,44
NULL,NULL,49,50,63,39,31,30
NULL,NULL,48,66,77,34,29,70
NULL,NULL,37,55,66,31,36,93
NULL,NULL,31,48,63,32,29,107
NULL,NULL,98,66,66,41,39,103
NULL,NULL,57,58,61,22,22,100
NULL,NULL,72,55,60,28,29,108
NULL,NULL,58,59,57,34,27,105
NULL,NULL,92,54,75,28,26,132
NULL,NULL,62,39,57,24,26,95
NULL,NULL,55,41,38,15,26,83
NULL,NULL,47,55,53,39,33,79
NULL,NULL,50,34,42,21,25,110
NULL,NULL,45,48,51,7,21,82
NULL,NULL,65,55,71,13,20,104
NULL,NULL,62,36,47,8,22,104
NULL,NULL,58,54,45,8,25,106
NULL,NULL,64,48,41,8,22,74
NULL,NULL,50,30,32,7,23,81
NULL,NULL,60,44,35,5,29,122
NULL,NULL,63,71,63,30,32,133
NULL,NULL,53,80,69,27,25,103
NULL,NULL,45,82,73,26,19,109
NULL,NULL,36,68,73,178,10,95
NULL,NULL,55,64,62,293,8,82
NULL,NULL,30,48,50,275,5,80
NULL,NULL,54,78,78,310,4,96
NULL,NULL,47,65,64,276,6,79
NULL,NULL,41,62,59,235,5,85
NULL,NULL,45,68,61,268,2,70
NULL,NULL,35,47,49,252,3,82
NULL,NULL,55,70,75,250,4,94
NULL,NULL,188,38,42,270,7,146
NULL,NULL,176,36,34,232,4,106
NULL,NULL,155,32,41,182,7,119
NULL,NULL,174,24,43,193,5,123
NULL,NULL,149,26,59,197,3,97
NULL,NULL,125,24,35,176,5,86
NULL,NULL,141,35,52,181,3,109
NULL,NULL,105,23,39,139,3,124
NULL,NULL,131,16,33,183,20,126
NULL,NULL,123,22,50,205,24,142
NULL,NULL,102,21,30,192,23,129
NULL,NULL,104,22,56,204,31,174
NULL,NULL,114,19,47,165,18,151
NULL,NULL,114,24,42,197,18,130
NULL,NULL,99,20,43,186,28,115
NULL,NULL,115,30,55,214,56,122
NULL,NULL,104,30,38,182,66,132
NULL,NULL,83,35,44,188,59,143
