Year,Month,starawar1duration
2006,1,45
2006,2,36
2006,3,28
2006,4,19
2006,5,16
2006,6,29
2006,7,53
2006,8,60
2006,9,51
2006,10,53
2006,11,53
2006,12,29
2007,1,6
2007,2,35
2007,3,48
2007,4,43
2007,5,27
2007,6,49
2007,7,55
2007,8,53
2007,9,39
2007,10,27
2007,11,43
2007,12,30
2008,1,51
2008,2,38
2008,3,30
2008,4,34
2008,5,28
2008,6,41
2008,7,63
2008,8,57
2008,9,54
2008,10,37
2008,11,42
2008,12,35
2009,1,48
2009,2,43
2009,3,32
2009,4,24
2009,5,31
2009,6,41
2009,7,32
2009,8,27
2009,9,23
2009,10,32
2009,11,22
2009,12,39
2010,1,41
2010,2,29
2010,3,42
2010,4,68
2010,5,65
2010,6,54
2010,7,52
2010,8,53
2010,9,33
2010,10,42
2010,11,44
2010,12,65
2011,1,38
2011,2,57
2011,3,65
2011,4,67
2011,5,64
2011,6,43
2011,7,37
2011,8,28
2011,9,19
2011,10,23
2011,11,20
2011,12,20
2012,1,17
2012,2,13
2012,3,46
2012,4,27
2012,5,32
2012,6,28
2012,7,42
2012,8,26
2012,9,25
2012,10,19
2012,11,20
2012,12,21
2013,1,27
2013,2,29
2013,3,27
2013,4,29
2013,5,21
2013,6,28
2013,7,28
2013,8,24
2013,9,17
2013,10,12
2013,11,25
2013,12,12
2014,1,24
2014,2,22
2014,3,20
2014,4,19
2014,5,12
2014,6,26
2014,7,84
2014,8,78
2014,9,70
2014,10,82
2014,11,67
2014,12,53
2015,1,62
2015,2,43
2015,3,56
2015,4,57
2015,5,43
2015,6,41
2015,7,49
2015,8,50
2015,9,39
2015,10,49
2015,11,45
2015,12,30
