Year,Month,starwas3duration
2006,1,182
2006,2,226
2006,3,230
2006,4,163
2006,5,132
2006,6,169
2006,7,215
2006,8,187
2006,9,173
2006,10,193
2006,11,110
2006,12,87
2007,1,40
2007,2,95
2007,3,122
2007,4,84
2007,5,80
2007,6,116
2007,7,102
2007,8,92
2007,9,90
2007,10,66
2007,11,117
2007,12,93
2008,1,103
2008,2,93
2008,3,94
2008,4,108
2008,5,104
2008,6,107
2008,7,108
2008,8,115
2008,9,92
2008,10,89
2008,11,94
2008,12,84
2009,1,121
2009,2,84
2009,3,88
2009,4,67
2009,5,89
2009,6,102
2009,7,98
2009,8,79
2009,9,38
2009,10,69
2009,11,78
2009,12,72
2010,1,75
2010,2,57
2010,3,63
2010,4,41
2010,5,66
2010,6,55
2010,7,69
2010,8,62
2010,9,38
2010,10,39
2010,11,60
2010,12,62
2011,1,41
2011,2,49
2011,3,51
2011,4,51
2011,5,106
2011,6,100
2011,7,92
2011,8,70
2011,9,32
2011,10,47
2011,11,25
2011,12,36
2012,1,26
2012,2,26
2012,3,28
2012,4,26
2012,5,27
2012,6,28
2012,7,29
2012,8,23
2012,9,17
2012,10,21
2012,11,16
2012,12,22
2013,1,31
2013,2,19
2013,3,21
2013,4,20
2013,5,12
2013,6,16
2013,7,26
2013,8,30
2013,9,32
2013,10,33
2013,11,30
2013,12,21
2014,1,35
2014,2,29
2014,3,28
2014,4,25
2014,5,23
2014,6,34
2014,7,18
2014,8,14
2014,9,17
2014,10,20
2014,11,28
2014,12,16
2015,1,25
2015,2,16
2015,3,13
2015,4,20
2015,5,12
2015,6,24
2015,7,21
2015,8,22
2015,9,18
2015,10,23
2015,11,17
2015,12,13
