Year,Month,StarWar1,StarWar2,StarWar3,StarWar4,StarWar5,StarWar6
2006,1,62,134,290,82,66,111
2006,2,59,125,377,78,66,96
2006,3,52,155,396,106,73,105
2006,4,38,131,290,72,57,91
2006,5,30,127,241,87,64,79
2006,6,54,235,353,130,121,165
2006,7,96,176,435,106,103,170
2006,8,109,199,366,130,103,141
2006,9,101,189,338,71,71,102
2006,10,97,162,379,120,82,118
2006,11,86,146,231,69,58,75
2006,12,56,113,203,55,44,65
2007,1,17,52,90,41,26,37
2007,2,47,63,147,41,28,45
2007,3,82,121,239,71,53,83
2007,4,74,88,179,78,52,76
2007,5,52,87,169,58,49,72
2007,6,78,108,190,77,65,90
2007,7,85,124,188,83,68,85
2007,8,78,103,184,102,65,79
2007,9,62,105,169,66,64,94
2007,10,44,70,112,63,36,58
2007,11,68,96,214,78,59,105
2007,12,53,117,168,55,64,74
2008,1,72,117,182,93,44,106
2008,2,60,107,174,63,59,83
2008,3,50,106,175,85,52,66
2008,4,52,120,183,60,53,67
2008,5,44,133,184,61,57,120
2008,6,64,119,192,82,56,57
2008,7,102,155,206,95,76,95
2008,8,90,131,203,101,57,79
2008,9,80,142,161,101,49,49
2008,10,60,149,164,112,58,74
2008,11,58,109,161,177,144,144
2008,12,58,108,151,135,143,148
2009,1,71,154,202,198,137,149
2009,2,61,144,153,152,140,137
2009,3,48,101,148,182,144,172
2009,4,35,96,117,169,107,100
2009,5,45,90,163,172,119,126
2009,6,58,120,173,148,109,128
2009,7,47,100,167,148,132,120
2009,8,39,116,138,158,111,84
2009,9,34,62,68,96,65,69
2009,10,50,94,116,149,97,92
2009,11,34,88,122,116,103,108
2009,12,55,86,112,141,117,96
2010,1,58,84,125,132,89,92
2010,2,40,77,100,133,93,108
2010,3,59,62,108,144,106,125
2010,4,101,71,72,126,80,57
2010,5,103,70,106,108,73,70
2010,6,89,69,92,116,84,83
2010,7,89,72,116,101,77,68
2010,8,82,56,101,118,78,89
2010,9,53,76,64,85,68,90
2010,10,77,137,70,126,97,70
2010,11,76,110,95,87,96,75
2010,12,110,124,102,105,103,72
2011,1,78,116,74,100,108,68
2011,2,91,99,83,84,108,87
2011,3,101,151,82,120,110,85
2011,4,106,131,81,96,72,72
2011,5,100,118,161,108,104,59
2011,6,70,120,156,96,72,79
2011,7,66,109,146,74,69,50
2011,8,55,89,130,47,30,32
2011,9,38,58,76,32,34,28
2011,10,48,88,101,45,35,44
2011,11,49,50,63,39,31,30
2011,12,48,66,77,34,29,70
2012,1,37,55,66,31,36,93
2012,2,31,48,63,32,29,107
2012,3,98,66,66,41,39,103
2012,4,57,58,61,22,22,100
2012,5,72,55,60,28,29,108
2012,6,58,59,57,34,27,105
2012,7,92,54,75,28,26,132
2012,8,62,39,57,24,26,95
2012,9,55,41,38,15,26,83
2012,10,47,55,53,39,33,79
2012,11,50,34,42,21,25,110
2012,12,45,48,51,7,21,82
2013,1,65,55,71,13,20,104
2013,2,62,36,47,8,22,104
2013,3,58,54,45,8,25,106
2013,4,64,48,41,8,22,74
2013,5,50,30,32,7,23,81
2013,6,60,44,35,5,29,122
2013,7,63,71,63,30,32,133
2013,8,53,80,69,27,25,103
2013,9,45,82,73,26,19,109
2013,10,36,68,73,178,10,95
2013,11,55,64,62,293,8,82
2013,12,30,48,50,275,5,80
2014,1,54,78,78,310,4,96
2014,2,47,65,64,276,6,79
2014,3,41,62,59,235,5,85
2014,4,45,68,61,268,2,70
2014,5,35,47,49,252,3,82
2014,6,55,70,75,250,4,94
2014,7,188,38,42,270,7,146
2014,8,176,36,34,232,4,106
2014,9,155,32,41,182,7,119
2014,10,174,24,43,193,5,123
2014,11,149,26,59,197,3,97
2014,12,125,24,35,176,5,86
2015,1,141,35,52,181,3,109
2015,2,105,23,39,139,3,124
2015,3,131,16,33,183,20,126
2015,4,123,22,50,205,24,142
2015,5,102,21,30,192,23,129
2015,6,104,22,56,204,31,174
2015,7,114,19,47,165,18,151
2015,8,114,24,42,197,18,130
2015,9,99,20,43,186,28,115
2015,10,115,30,55,214,56,122
2015,11,104,30,38,182,66,132
2015,12,83,35,44,188,59,143
